price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,vehicle_age
22800,2013,ford f-350 sd,good,8.0,diesel,207738.0,automatic,truck,brown,1,2018-11-08,62,6
28400,2017,ford mustang gt coupe 2d,good,8.0,gas,6665.0,other,coupe,blue,0,2018-05-16,46,2
29900,2018,ford mustang gt coupe 2d,good,8.0,gas,3827.0,automatic,coupe,yellow,0,2019-03-22,48,2
22500,2019,nissan frontier crew cab sv,good,6.0,gas,24209.0,other,pickup,,1,2019-03-03,73,1
24600,2014,chevrolet silverado 1500 crew,good,6.0,gas,85048.0,automatic,pickup,silver,1,2018-08-19,96,5
21900,2018,nissan frontier crew cab sv,good,6.0,gas,27576.0,other,pickup,,1,2018-11-22,58,1
4600,2012,nissan versa,good,4.0,gas,146000.0,automatic,sedan,,0,2018-06-07,32,7
33900,2018,chevrolet silverado 1500 crew,good,8.0,gas,11315.0,other,pickup,white,1,2019-03-01,2,2
4800,2006,honda accord,like new,4.0,gas,195000.0,automatic,sedan,silver,0,2018-12-12,49,13
4500,2012,chevrolet impala,excellent,6.0,gas,145000.0,automatic,sedan,white,0,2018-10-10,38,7
21595,2015,chevrolet silverado 1500,excellent,8.0,gas,92634.0,automatic,truck,black,1,2018-11-15,53,4
10999,2010,ford edge,good,6.0,gas,98193.0,automatic,SUV,blue,1,2018-08-11,78,9
2900,2000,nissan maxima,good,6.0,gas,170000.0,automatic,sedan,green,0,2018-09-23,12,19
2700,2005,chevrolet equinox,good,6.0,gas,150352.0,automatic,SUV,silver,0,2019-04-02,49,15
9500,2009,ford f-250,good,8.0,gas,189490.0,automatic,truck,white,1,2018-08-03,6,10
4900,2011,nissan sentra,good,4.0,gas,116000.0,automatic,sedan,silver,0,2018-11-30,19,8
24000,2018,nissan frontier crew cab sv,good,6.0,gas,16295.0,other,pickup,blue,1,2018-05-26,30,1
24700,2015,ford mustang gt coupe 2d,good,8.0,gas,37270.0,other,coupe,black,0,2019-04-16,41,5
26900,2014,chevrolet silverado 1500 crew,good,8.0,gas,68607.0,automatic,pickup,black,1,2018-07-28,18,5
4500,2013,nissan altima,excellent,,gas,140000.0,automatic,sedan,silver,0,2019-03-29,108,7
19500,2014,ford f150,excellent,8.0,gas,116000.0,automatic,truck,grey,1,2018-06-26,40,5
13995,2010,chevrolet silverado 1500,excellent,8.0,gas,151442.0,automatic,truck,silver,1,2018-12-20,72,9
11995,2012,chevrolet suburban,excellent,8.0,gas,158487.0,automatic,SUV,grey,1,2018-11-10,16,7
15995,2013,jeep wrangler,excellent,6.0,gas,138806.0,automatic,SUV,black,1,2018-09-08,112,6
7995,2012,chevrolet cruze,excellent,4.0,gas,81559.0,automatic,sedan,black,0,2018-12-16,57,7
28250,2017,chevrolet silverado 1500,excellent,8.0,gas,13808.0,automatic,truck,white,1,2018-08-17,11,2
6995,2004,ford expedition,excellent,8.0,gas,92546.0,automatic,SUV,blue,1,2018-05-23,18,15
13900,2016,dodge grand caravan,excellent,6.0,gas,62711.0,automatic,van,black,0,2019-04-11,37,4
28975,2017,chevrolet silverado 1500,excellent,8.0,gas,8354.0,automatic,truck,black,1,2019-01-07,13,3
14995,2011,jeep wrangler,excellent,6.0,gas,118371.0,automatic,SUV,orange,1,2019-01-25,49,9
25600,2017,ford mustang gt coupe 2d,good,8.0,gas,42957.0,other,coupe,,0,2019-01-24,83,3
12990,2011,ford expedition,good,8.0,gas,124775.0,automatic,SUV,custom,1,2018-06-11,50,8
6300,2010,ford taurus,excellent,6.0,gas,155743.0,automatic,sedan,,0,2018-11-01,30,9
26400,2016,ford mustang gt coupe 2d,good,8.0,gas,16890.0,other,coupe,white,0,2018-05-15,10,3
17300,2014,chevrolet camaro lt coupe 2d,good,6.0,gas,27915.0,other,coupe,red,0,2019-01-16,25,6
26700,2017,ford mustang gt coupe 2d,good,8.0,gas,26192.0,other,coupe,black,0,2019-02-14,17,3
18975,2012,chevrolet silverado 1500,excellent,8.0,gas,24390.0,automatic,truck,white,0,2018-11-15,61,7
31800,2018,chevrolet silverado 1500 crew,good,8.0,gas,22838.0,automatic,pickup,white,1,2019-01-29,29,2
3995,1999,acura tl,good,6.0,gas,180000.0,automatic,sedan,black,0,2018-06-19,52,20
18600,2012,ford mustang gt coupe 2d,good,8.0,gas,96562.0,other,coupe,red,0,2018-12-20,14,7
21100,2017,chevrolet camaro lt coupe 2d,good,,gas,24510.0,other,coupe,red,0,2019-04-19,38,3
3995,2001,ford ranger,good,6.0,gas,102000.0,automatic,truck,brown,0,2018-05-27,79,18
7975,2007,gmc sierra,excellent,8.0,gas,228409.0,automatic,truck,white,0,2018-10-27,15,12
9950,2008,toyota 4runner,excellent,6.0,gas,207348.0,automatic,SUV,,1,2018-10-28,11,11
3595,2005,chevrolet impala,good,6.0,gas,147667.0,automatic,sedan,red,0,2018-11-12,30,14
9850,2008,chevrolet silverado 1500,good,8.0,gas,182225.0,automatic,truck,blue,1,2018-08-15,36,11
18600,2012,ford mustang gt coupe 2d,good,8.0,gas,96562.0,other,coupe,red,0,2018-07-31,59,7
21100,2017,chevrolet camaro lt coupe 2d,good,,gas,24510.0,other,coupe,red,0,2019-03-29,1,3
